id,Large File,File URL,LOC,N_Components,N_Functions,N_Imports,"Em uma escala de 1 a 5, como você avalia a relevância desse smell?
1 = smell não é importante e, provavelmente, não será refatorado
5 = smell é muito importante e, provavelmente, será refatorado em breve.",Observação
1,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\components\source-panel.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\components\source-panel.tsx,315,6,0,7,,
2,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\lib\rehype-component.ts,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\lib\rehype-component.ts,349,0,4,8,,
3,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\block\chart-composed-table.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\block\chart-composed-table.tsx,107,1,0,21,,
4,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\combobox-form.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\combobox-form.tsx,139,1,0,24,,
5,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-badge.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-badge.tsx,44,3,0,8,,
6,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-conditional.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-conditional.tsx,71,3,0,9,,
7,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-demo.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-demo.tsx,50,3,0,7,,
8,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-force.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-force.tsx,62,3,0,7,,
9,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-hidden.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-hidden.tsx,49,3,0,7,,
10,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-icon.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-icon.tsx,45,3,0,8,,
11,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-subpage-custom.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-subpage-custom.tsx,66,4,0,12,,
12,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-subpage.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\commandmenu-subpage.tsx,74,3,0,11,,
13,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\dropdown-menu-demo.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\dropdown-menu-demo.tsx,123,1,0,27,,
14,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\form-patterns-pagelayout.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\form-patterns-pagelayout.tsx,732,1,0,46,,
15,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\form-patterns-sidepanel.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\form-patterns-sidepanel.tsx,770,1,0,45,,
16,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\page-layout-list-simple.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\page-layout-list-simple.tsx,98,1,0,22,,
17,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\page-layout-list.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\page-layout-list.tsx,128,1,0,23,,
18,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\page-layout-settings.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\page-layout-settings.tsx,255,2,0,25,,
19,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\sheet-confirm-on-close-demo.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\registry\default\example\sheet-confirm-on-close-demo.tsx,226,2,1,23,,
20,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\__registry__\default\block\chart-composed-table.tsx,C:\Users\Admin\Desktop\React Refactor\agentic_refactor_system\runs\design_system_filtered\detector\reactsniffer_input\__registry__\default\block\chart-composed-table.tsx,107,1,0,21,,
